SYMBOL,QUOTE_TYPE,REGION,SHORT_NAME,FUND_LONG_NAME,CURRENCY,FUND_CATEGORY,FUND_FAMILY,EXCHANGE_CODE,EXCHANGE_NAME,EXCHANGE_TIMEZONE,AVG_VOL_3MONTH,AVG_VOL_10DAY,TOTAL_NET_ASSETS,DAY50_MOVING_AVERAGE,DAY200_MOVING_AVERAGE,WEEK52_HIGH_LOW_CHANGE,WEEK52_HIGH_LOW_CHANGE_PERC,WEEK52_HIGH,WEEK52_HIGH_CHANGE,WEEK52_HIGH_CHANGE_PERC,WEEK52_LOW,WEEK52_LOW_CHANGE,WEEK52_LOW_CHANGE_PERC,INVESTMENT_STRATEGY,FUND_YIELD,INCEPTION_DATE,ANNUAL_HOLDINGS_TURNOVER,INVESTMENT_TYPE,SIZE_TYPE,FUND_ANNUAL_REPORT_NET_EXPENSE_RATIO,CATEGORY_ANNUAL_REPORT_NET_EXPENSE_RATIO,ASSET_STOCKS,ASSET_BONDS,FUND_SECTOR_BASIC_MATERIALS,FUND_SECTOR_COMMUNICATION_SERVICES,FUND_SECTOR_CONSUMER_CYCLICAL,FUND_SECTOR_CONSUMER_DEFENSIVE,FUND_SECTOR_ENERGY,FUND_SECTOR_FINANCIAL_SERVICES,FUND_SECTOR_HEALTHCARE,FUND_SECTOR_INDUSTRIALS,FUND_SECTOR_REAL_ESTATE,FUND_SECTOR_TECHNOLOGY,FUND_SECTOR_UTILITIES,FUND_PRICE_BOOK_RATIO,FUND_PRICE_CASHFLOW_RATIO,FUND_PRICE_EARNING_RATIO,FUND_PRICE_SALES_RATIO,FUND_BOND_MATURITY,FUND_BOND_DURATION,FUND_BONDS_US_GOVERNMENT,FUND_BONDS_AAA,FUND_BONDS_AA,FUND_BONDS_A,FUND_BONDS_BBB,FUND_BONDS_BB,FUND_BONDS_B,FUND_BONDS_BELOW_B,FUND_BONDS_OTHERS,TOP10_HOLDINGS,TOP10_HOLDINGS_TOTAL_ASSETS,RETURNS_AS_OF_DATE,FUND_RETURN_YTD,CATEGORY_RETURN_YTD,FUND_RETURN_1MONTH,CATEGORY_RETURN_1MONTH,FUND_RETURN_3MONTHS,CATEGORY_RETURN_3MONTHS,FUND_RETURN_1YEAR,CATEGORY_RETURN_1YEAR,FUND_RETURN_3YEARS,CATEGORY_RETURN_3YEARS,FUND_RETURN_5YEARS,CATEGORY_RETURN_5YEARS,FUND_RETURN_10YEARS,CATEGORY_RETURN_10YEARS,YEARS_UP,YEARS_DOWN,FUND_RETURN_2020,CATEGORY_RETURN_2020,FUND_RETURN_2019,CATEGORY_RETURN_2019,FUND_RETURN_2018,CATEGORY_RETURN_2018,FUND_RETURN_2017,CATEGORY_RETURN_2017,FUND_RETURN_2016,CATEGORY_RETURN_2016,FUND_RETURN_2015,CATEGORY_RETURN_2015,FUND_RETURN_2014,CATEGORY_RETURN_2014,FUND_RETURN_2013,CATEGORY_RETURN_2013,FUND_RETURN_2012,CATEGORY_RETURN_2012,FUND_RETURN_2011,CATEGORY_RETURN_2011,FUND_RETURN_2010,CATEGORY_RETURN_2010,FUND_RETURN_2009,CATEGORY_RETURN_2009,FUND_RETURN_2008,CATEGORY_RETURN_2008,FUND_RETURN_2007,CATEGORY_RETURN_2007,FUND_RETURN_2006,CATEGORY_RETURN_2006,FUND_RETURN_2005,CATEGORY_RETURN_2005,FUND_RETURN_2004,CATEGORY_RETURN_2004,FUND_RETURN_2003,CATEGORY_RETURN_2003,FUND_RETURN_2002,CATEGORY_RETURN_2002,FUND_RETURN_2001,CATEGORY_RETURN_2001,FUND_RETURN_2000,CATEGORY_RETURN_2000,FUND_ALPHA_3YEARS,FUND_BETA_3YEARS,FUND_MEAN_ANNUAL_RETURN_3YEARS,FUND_R_SQUARED_3YEARS,FUND_STDEV_3YEARS,FUND_SHARPE_RATIO_3YEARS,FUND_TREYNOR_RATIO_3YEARS,FUND_ALPHA_5YEARS,FUND_BETA_5YEARS,FUND_MEAN_ANNUAL_RETURN_5YEARS,FUND_R_SQUARED_5YEARS,FUND_STDEV_5YEARS,FUND_SHARPE_RATIO_5YEARS,FUND_TREYNOR_RATIO_5YEARS,FUND_ALPHA_10YEARS,FUND_BETA_10YEARS,FUND_MEAN_ANNUAL_RETURN_10YEARS,FUND_R_SQUARED_10YEARS,FUND_STDEV_10YEARS,FUND_SHARPE_RATIO_10YEARS,FUND_TREYNOR_RATIO_10YEARS
jmin,etf,us,water island credit opportuniti,water island credit opportunities fund class c,usd,large blend,arbitrage fund,pcx,nysearca,america/new_york,2488,1490.0,19340992.0,36.41,35.322,6.63,0.1768,37.5,-1.0725,-0.0286,30.87,5.5575,0.18003,"the investment seeks to provide current income and capital growth. the fund invests primarily in a portfolio of debt securities including corporate bonds and debentures (including high yield bonds commonly known as ""junk bonds""), bank loans, convertible and preferred securities, credit default swaps and other debt instruments and derivatives that the fund's investment adviser believes have debt-like characteristics. it invests in both domestic and foreign debt securities. the principal types of derivatives in which the fund may invest are credit default swaps, interest rate swaps, total return swaps, futures and options.",0.0226,2017-11-08,,value,large,0.0012,0.0036,0.9986,0.0,0.0522,0.0369,0.0355,0.1878,0.0489,0.0478,0.2362,0.0553,0.0536,0.0855,0.1603,3.27,14.28,23.39,1.82,,,,,,,,,,,,"""orbcomm inc 8%"": 0.0462, ""stars group holdings bv / stars group (us) co-borrower llc 7%"": 0.0442, ""t-mobile usa, inc. 6%"": 0.0435, ""eig investors corporation 10.88%"": 0.0427, ""cincinnati bell, inc. 7%"": 0.0352, ""slack technologies inc 0.5%"": 0.0331, ""refinitiv us holdings inc 6.25%"": 0.0327, ""cincinnati bell, inc. 8%"": 0.0317, ""navistar international corporation 6.62%"": 0.0315, ""verint systems inc 1.5%"": 0.0307",0.0663,2021-06-30,0.1165,0.075,0.0017,-0.0025,0.0551,0.032,0.2926,0.1345,0.1348,0.1014,,0.1576,,0.0733,2.0,1.0,0.0437,,0.28231,,-0.00895,,,,,,,-0.00632,,0.11786,,0.31437,,0.14212,,0.01683,,0.17791,,0.32264,,-0.38047,,0.04402,,0.15549,,0.04685,,0.12554,,0.29092,,-0.17842,,-0.05751,,-0.05243,-1.42,0.8,1.17,88.99,15.83,0.81,15.35,,,,,,,,,,,,,,
jmom,etf,us,water island credit opportuniti,water island credit opportunities fund class r,usd,large growth,arbitrage fund,pcx,nysearca,america/new_york,29570,27870.0,189598928.0,46.824,43.44,12.935,0.26174,49.42,-2.84,-0.05747,36.485,10.095,0.27669,"the investment seeks to provide current income and capital growth. the fund invests primarily in a portfolio of debt securities including corporate bonds and debentures (including high yield bonds commonly known as ""junk bonds""), bank loans, convertible and preferred securities, credit default swaps and other debt instruments and derivatives that the fund's investment adviser believes have debt-like characteristics. it invests in both domestic and foreign debt securities. the principal types of derivatives in which the fund may invest are credit default swaps, interest rate swaps, total return swaps, futures and options.",0.0071,2017-11-08,,growth,large,0.0012,0.0039,0.9941,0.0,0.0171,0.0491,0.1323,0.0653,0.0219,0.1314,0.1297,0.0958,0.0294,0.3072,0.0208,5.8,19.8,28.96,3.31,,,,,,,,,,,,"""altice france s. a 7.38%"": 0.0607, ""by crown parent llc / by bond finance incorporated 4.25%"": 0.0381, ""navistar international corporation 6.62%"": 0.0374, ""hillman group inc 6.38%"": 0.0323, ""werner finco lp/ werner finco inc 8.75%"": 0.0282, ""solera, llc / solera finance, inc. 10.5%"": 0.0279, ""stars group holdings bv / stars group (us) co-borrower llc 7%"": 0.0263, ""ingram micro inc. 5.45%"": 0.0257, ""jaguar holding company ii/ppd development l p 5%"": 0.0242, ""golden nugget inc 6.75%"": 0.024",0.1683,2021-06-30,0.1242,0.048,0.0533,0.0031,0.11,0.0511,0.4186,0.1242,0.1876,0.1146,,0.1705,,0.0948,2.0,1.0,0.28891,,0.28364,,-0.05046,,,,,,,0.03976,,0.14094,,0.36024,,0.16404,,0.00687,,0.18617,,0.41318,,-0.41574,,0.09633,,0.0998,,0.02725,,0.0698,,0.30929,,-0.27831,,-0.19168,,-0.3694,0.45,0.99,1.6,92.14,19.08,0.94,17.83,,,,,,,,,,,,,,
jmst,etf,us,archer balanced fund,archer balanced fund,usd,,archer,bts,bats,america/new_york,379270,330920.0,1571094400.0,51.044,51.056,0.16,0.00313,51.15,-0.15,-0.00293,50.99,0.01,0.0002,"the investment seeks total return. the fund seeks to achieve its objective of total return, by investing in a diversified portfolio of equity and fixed income securities. total return is composed of both income and capital appreciation. as a balanced fund, under normal circumstances, the fund will invest up to 70%, but not less than 25% of its total assets in equity securities. further, under normal circumstances, it will invest at least 30%, but not less than 25% of its total assets in fixed income securities, cash and cash equivalents.",0.0074,2018-10-16,1.53,value,medium,0.0018,,,,,,,,,,,,,,,,,,,0.74,0.7,0.0,0.1995,0.5076,0.1617,0.0283,0.0009,0.0,0.0,0.102,"ma (""mastercard inc a""): 0.0314, jpm (""jpmorgan chase & co""): 0.0271, acn (""accenture plc class a""): 0.0257, fdx (""fedex corp""): 0.0255, aapl (""apple inc""): 0.0254, nee (""nextera energy inc""): 0.0254, fb (""facebook inc a""): 0.0251, googl (""alphabet inc a""): 0.0246, nke (""nike inc b""): 0.0215, cvs (""cvs health corp""): 0.0211",0.18,2021-03-31,0.0006,,0.0006,,0.0006,,0.0196,,,,,,,,2.0,0.0,0.02007,,0.02149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jnk,etf,us,aqr riskbalanced commodities f,aqr riskbalanced commodities strategy fund class i,usd,high yield bond,aqr funds,pcx,nysearca,america/new_york,8613952,11205840.0,9782642688.0,108.475,108.934,3.66,0.03323,110.14,-2.86,-0.02597,106.48,0.8,0.00751,"the investment seeks total return. the fund pursues its investment objective by allocating assets among various commodity sectors (including agricultural, energy, livestock, softs (e.g., non-grain agricultural products such as coffee, sugar, cocoa, etc.) and precious and base metals). it also invests in fixed income securities and money market instruments. the fund will obtain exposure to commodity sectors by investing in commodity-linked derivatives, directly or through its investment in the subsidiary. it is non-diversified.",0.0466,2007-11-28,0.5,value,small,0.004,0.0047,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.25,6.27,3.57,0.0,0.0,0.0,0.0,-0.001,0.5037,0.37,0.1267,0.0006,"""ubs money ser"": 0.3663, ""ubs relationship fds"": 0.1905, ""lme pri alum 09/15/2021"": 0.0274, ""united states treasury bills 0%"": 0.018",0.0324,2021-06-30,0.0277,0.1106,0.0132,0.0062,0.0214,0.0434,0.1404,0.0905,0.0665,0.0339,0.062,0.0584,0.0518,,10.0,3.0,0.04659,,0.14972,,-0.03177,,0.06475,,0.14755,,-0.0722,-0.03739,0.0115,0.00702,0.05891,0.0617,0.14341,0.12132,0.04697,0.04275,0.14065,0.11917,0.5078,0.41327,-0.30271,-0.29406,,,,,,,,,,0.07427,,,,,,,3.15,0.58,0.56,4.61,9.23,0.6,9.04,4.41,0.51,0.54,4.88,7.37,0.73,10.33,3.42,0.51,0.45,4.04,7.52,0.64,9.21
jnug,etf,us,american century one choice 203,american century investments one choice 2030 portfolio a class,usd,trading--leveraged equity,american century investments,pcx,nysearca,america/new_york,1163335,949150.0,603413184.0,66.798,79.8,89.64,0.64074,139.9,-81.43999,-0.58213,50.26,8.2,0.16315,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other american century mutual funds (the underlying funds) that represent a variety of asset classes and investment styles. the target date in the fund name (2030) refers to the approximate year an investor plans to retire and likely would stop making new investments in the fund.",0.0041,2013-10-03,3.12,blend,medium,0.0108,0.009,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,6.91,15.81,1.97,,,,,,,,,,,,"acldx (""american century nt diversified bond g""): 0.1982, acllx (""american century nt focused lg cap val g""): 0.0912, agbgx (""american century global bond g""): 0.0829, afegx (""american century sustainable equity g""): 0.0714, aclmx (""american century nt mid cap value g""): 0.0516, acltx (""american century nt growth g""): 0.0482, aingx (""american century inflation-adjs bond g""): 0.0458, aclnx (""american century nt international gr g""): 0.0453, ahgnx (""american century nt high income g""): 0.044, asdox (""american century short duration g""): 0.0434",1.0392,2021-06-30,-0.3206,,-0.2788,,0.0434,,-0.2576,,-0.5053,,-0.539,,,,2.0,5.0,-0.8552,,0.8246,,-0.48225,,-0.19664,,0.78285,,-0.74347,,-0.8397,0.11701,,0.63862,,0.30498,,-0.18231,,0.34116,,0.6239,,-0.68494,,0.11247,,,,,,,,,,,,,,,-28.87,2.92,2.01,22.57,114.29,0.2,-17.72,-51.28,2.79,-0.38,16.18,104.29,-0.06,-19.73,,,,,,,
jo,etf,us,aqr riskbalanced commodities f,aqr riskbalanced commodities strategy fund class n,usd,commodities broad basket,aqr funds,pcx,nysearca,america/new_york,91327,88160.0,97208344.0,57.982,47.669,33.29,0.49355,67.45,-1.2,-0.01779,34.16,32.09,0.9394,"the investment seeks total return. the fund pursues its investment objective by allocating assets among various commodity sectors (including agricultural, energy, livestock, softs (e.g., non-grain agricultural products such as coffee, sugar, cocoa, etc.) and precious and base metals). it also invests in fixed income securities and money market instruments. the fund will obtain exposure to commodity sectors by investing in commodity-linked derivatives, directly or through its investment in the subsidiary. it is non-diversified.",,2018-01-17,,,,0.0045,0.0081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""ubs money ser"": 0.3663, ""ubs relationship fds"": 0.1905, ""lme pri alum 09/15/2021"": 0.0274, ""united states treasury bills 0%"": 0.018",,2021-06-30,0.2032,0.081,-0.0249,0.0309,0.2566,-0.0342,0.4431,-0.0415,0.0042,-0.1594,,-0.1068,,-0.0774,1.0,1.0,-0.09902,,0.11686,,,,,,,,,-0.26941,,-0.2261,,-0.06381,,-0.002,,-0.06518,,0.14324,,0.18403,,-0.41581,,0.27533,,,,,,,,,,,,,,,1.33,0.79,0.46,13.57,33.13,0.13,-1.32,,,,,,,,,,,,,,
joet,etf,us,american century one choice 203,american century investments one choice 2030 portfolio r class,usd,,american century investments,ngm,nasdaqgm,america/new_york,46508,106200.0,74026920.0,31.511,29.269,8.96,0.26899,33.31,-1.8,-0.05404,24.35,7.16,0.29405,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other american century mutual funds (the underlying funds) that represent a variety of asset classes and investment styles. the target date in the fund name (2030) refers to the approximate year an investor plans to retire and likely would stop making new investments in the fund.",,2020-11-17,,growth,large,0.0029,,,,0.016,0.0571,0.1049,0.0393,0.0084,0.1316,0.2043,0.1286,0.0239,0.286,0.0,5.01,19.84,26.29,2.93,,,,,,,,,,,,"acldx (""american century nt diversified bond g""): 0.1982, acllx (""american century nt focused lg cap val g""): 0.0912, agbgx (""american century global bond g""): 0.0829, afegx (""american century sustainable equity g""): 0.0714, aclmx (""american century nt mid cap value g""): 0.0516, acltx (""american century nt growth g""): 0.0482, aingx (""american century inflation-adjs bond g""): 0.0458, aclnx (""american century nt international gr g""): 0.0453, ahgnx (""american century nt high income g""): 0.044, asdox (""american century short duration g""): 0.0434",0.0856,2021-04-30,0.0677,,0.0492,,0.0962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joyy,etf,us,american century one choice 203,american century investments one choice 2030 portfolio i class,usd,industrials,american century investments,pcx,nysearca,america/new_york,801,930.0,47515472.0,33.015,33.809,5.515,0.14956,36.875,-5.3495,-0.14507,31.36,0.1654,0.00527,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other american century mutual funds (the underlying funds) that represent a variety of asset classes and investment styles. the target date in the fund name (2030) refers to the approximate year an investor plans to retire and likely would stop making new investments in the fund.",0.0172,2019-12-26,,growth,large,0.005,0.0046,1.0,0.0,0.0,0.2718,0.2826,0.3198,0.0,0.0781,0.0044,0.0,0.0,0.0433,0.0,7.15,23.93,34.54,5.48,,,,,,,,,,,,"acldx (""american century nt diversified bond g""): 0.1982, acllx (""american century nt focused lg cap val g""): 0.0912, agbgx (""american century global bond g""): 0.0829, afegx (""american century sustainable equity g""): 0.0714, aclmx (""american century nt mid cap value g""): 0.0516, acltx (""american century nt growth g""): 0.0482, aingx (""american century inflation-adjs bond g""): 0.0458, aclnx (""american century nt international gr g""): 0.0453, ahgnx (""american century nt high income g""): 0.044, asdox (""american century short duration g""): 0.0434",0.4086,2021-06-30,0.0663,0.0941,0.011,-0.0183,0.0631,-0.0059,0.3492,0.0578,,0.0521,,0.123,,0.0739,1.0,0.0,0.33528,,,,,,,,,,,-0.0567,,0.06279,,0.39602,,0.19077,,-0.10085,,0.21939,,0.29262,,-0.32136,,0.153,,0.13528,,0.05828,,0.20569,,0.32411,,-0.24845,,-0.10337,,0.06938,,,,,,,,,,,,,,,,,,,,,
jpem,etf,us,one choice 2030 portfolio  r6 ,american century investments one choice 2030 portfolio r6 class,usd,diversified emerging mkts,american century investments,pcx,nysearca,america/new_york,15041,17630.0,172628656.0,57.556,58.147,8.257,0.13455,61.367,-5.157,-0.08404,53.11,3.1,0.05837,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other american century mutual funds (the underlying funds) that represent a variety of asset classes and investment styles. the target date in the fund name (2030) refers to the approximate year an investor plans to retire and likely would stop making new investments in the fund.",0.0319,2015-01-07,,value,large,0.0044,0.0056,0.9902,0.0,0.1425,0.1047,0.0977,0.1134,0.0544,0.1733,0.0583,0.0779,0.0133,0.0786,0.086,1.8,7.18,13.42,1.41,,,,,,,,,,,,"acldx (""american century nt diversified bond g""): 0.1982, acllx (""american century nt focused lg cap val g""): 0.0912, agbgx (""american century global bond g""): 0.0829, afegx (""american century sustainable equity g""): 0.0714, aclmx (""american century nt mid cap value g""): 0.0516, acltx (""american century nt growth g""): 0.0482, aingx (""american century inflation-adjs bond g""): 0.0458, aclnx (""american century nt international gr g""): 0.0453, ahgnx (""american century nt high income g""): 0.044, asdox (""american century short duration g""): 0.0434",0.1312,2021-06-30,0.098,0.1483,0.001,0.0101,0.0621,0.0704,0.3361,0.1554,0.0675,-0.0218,0.0878,0.0165,,0.0359,4.0,1.0,0.00573,,0.16224,,-0.10551,,0.28839,,0.13307,,,-0.16233,,-0.03814,,-0.03099,,0.17248,,-0.19495,,0.21082,,0.70114,,-0.492,,0.40484,,0.29363,,0.33696,,0.28617,,0.50479,,,,,,,-2.08,1.03,0.72,88.68,19.21,0.39,5.65,-2.13,1.03,0.82,85.3,16.34,0.53,7.41,,,,,,,
jphy,etf,us,american century one choice 203,american century investments one choice 2030 portfolio investor class,usd,high yield bond,american century investments,bts,bats,america/new_york,63866,173370.0,1628221440.0,51.706,51.867,1.7,0.0324,52.47,-1.4,-0.02668,50.77,0.3,0.00591,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other american century mutual funds (the underlying funds) that represent a variety of asset classes and investment styles. the target date in the fund name (2030) refers to the approximate year an investor plans to retire and likely would stop making new investments in the fund.",0.0404,2016-09-15,,,,0.0024,0.0047,,,,,,,,,,,,,,,,,,4.68,3.85,0.0,0.014,0.0,0.0,0.0,0.5637,0.3322,0.0901,0.0,"acldx (""american century nt diversified bond g""): 0.1982, acllx (""american century nt focused lg cap val g""): 0.0912, agbgx (""american century global bond g""): 0.0829, afegx (""american century sustainable equity g""): 0.0714, aclmx (""american century nt mid cap value g""): 0.0516, acltx (""american century nt growth g""): 0.0482, aingx (""american century inflation-adjs bond g""): 0.0458, aclnx (""american century nt international gr g""): 0.0453, ahgnx (""american century nt high income g""): 0.044, asdox (""american century short duration g""): 0.0434",0.0865,2021-06-30,0.0235,0.1106,0.0135,0.0062,0.0256,0.0434,0.1228,0.0905,0.0676,0.0339,,0.0584,,,3.0,1.0,0.05278,,0.14813,,-0.02538,,0.06117,,,,,-0.03739,,0.00702,,0.0617,,0.12132,,0.04275,,0.11917,,0.41327,,-0.29406,,,,,,,,,,0.07427,,,,,,,3.19,0.66,0.59,6.68,8.71,0.67,8.63,,,,,,,,,,,,,,
jpib,etf,us,amg river road dividend all cap,amg river road dividend all cap value fund class n,usd,,amg funds,bts,bats,america/new_york,26445,19080.0,277114080.0,50.93,51.302,1.81,0.03473,52.12,-1.67,-0.03204,50.31,0.14,0.00278,"the investment seeks to provide high current income and, secondarily, long-term capital appreciation. under normal conditions, the fund invests at least 80% of its assets in equity securities. it invests in a diversified, all-cap portfolio of income-producing equity securities with yields that the subadviser believes will exceed that of the russell 3000 value index. the fund invests primarily in dividend paying common stocks, publicly traded partnerships (""ptps""), and real estate investment trusts (""reits"").",0.028,2017-04-03,1.36,blend,small,0.005,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,5.2,,2.37,4.84,3.59,0.0,0.1171,0.0151,0.1176,0.3181,0.2243,0.1077,0.0158,0.0843,"ups (""united parcel service inc class b""): 0.0393, glw (""corning inc""): 0.0365, cmcsa (""comcast corp class a""): 0.0361, aes (""the aes corp""): 0.0347, tgt (""target corp""): 0.0335, tfc (""truist financial corp""): 0.0304, bmy (""bristol-myers squibb company""): 0.0289, csco (""cisco systems inc""): 0.0282, vz (""verizon communications inc""): 0.028, usb (""u.s. bancorp""): 0.0279",0.1418,2021-04-30,-0.0007,,0.0068,,0.005,,0.1061,,0.0527,,,,,,2.0,1.0,0.06269,,0.10848,,-0.01655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,0.6,0.44,15.65,5.18,0.76,6.53,,,,,,,,,,,,,,
jpin,etf,us,archer dividend growth fund,archer dividend growth fund,usd,foreign large blend,archer,pcx,nysearca,america/new_york,51127,52720.0,872339648.0,60.713,61.986,8.155,0.12601,64.715,-5.915,-0.0914,56.56,2.24,0.0396,"the investment seeks to provide income and, as a secondary focus, long-term capital appreciation. under normal market conditions, the fund seeks to achieve its objective to provide income and, as a secondary focus, long-term capital appreciation, by investing at least 80% of its net assets in equity securities of large-capitalization companies, primarily in dividend-paying equity securities, consisting of common stocks, preferred stocks and shares of beneficial interest of real estate investment trusts (""reits""). it may invest up to 30% of its total assets in foreign securities.",0.0259,2014-11-05,,value,large,0.0037,0.0037,0.9932,0.0,0.0972,0.1131,0.0668,0.1335,0.0461,0.0837,0.1065,0.1043,0.0776,0.0714,0.1,1.38,7.4,15.18,0.89,,,,,,,,,,,,"rf (""regions financial corp""): 0.0402, abbv (""abbvie inc""): 0.036, ups (""united parcel service inc class b""): 0.0312, ajg (""arthur j. gallagher & co""): 0.0277, cat (""caterpillar inc""): 0.0276, jpm (""jpmorgan chase & co""): 0.0271, htgc (""hercules capital inc""): 0.0268, etn (""eaton corp plc""): 0.0267, cvx (""chevron corp""): 0.0263, acc (""american campus communities inc""): 0.0256",0.0444,2021-06-30,0.0862,0.0411,-0.0064,0.0128,0.0339,0.0562,0.2997,0.0819,0.0573,0.0078,0.0767,0.0715,,0.0176,5.0,1.0,0.05159,,0.15704,,-0.12507,,0.25253,,0.00915,,0.02936,-0.02563,,-0.03501,,0.1848,,0.16793,,-0.13909,,0.10547,,0.38882,,-0.44749,,0.29141,,0.19521,,0.19425,,0.19488,,0.44137,,-0.14519,,-0.19887,,0.03012,-3.02,0.95,0.59,95.67,17.06,0.34,4.74,-2.52,0.94,0.71,93.94,14.16,0.52,6.99,,,,,,,
jpmb,etf,us,american century one choice 204,american century investments one choice 2040 portfolio a class,usd,emerging markets bond,american century investments,pcx,nysearca,america/new_york,17575,27190.0,84675040.0,48.639,49.342,4.43,0.08554,51.79,-3.51,-0.06777,47.36,0.92,0.01943,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other american century mutual funds (the underlying funds) that represent a variety of asset classes and investment styles. the target date in the fund name (2040) refers to the approximate year an investor plans to retire and likely would stop making new investments in the fund.",0.0441,2018-01-29,,,,0.0039,0.0046,0.0,0.9966,,,,,,,,,,,,,,,,13.13,8.28,0.0,0.0,0.0489,0.086,0.2138,0.3958,0.2407,0.0148,0.0,"acldx (""american century nt diversified bond g""): 0.1717, acllx (""american century nt focused lg cap val g""): 0.1013, afegx (""american century sustainable equity g""): 0.0785, agbgx (""american century global bond g""): 0.0683, aclmx (""american century nt mid cap value g""): 0.0644, acltx (""american century nt growth g""): 0.0588, aclnx (""american century nt international gr g""): 0.053, aclwx (""american century nt heritage g""): 0.0477, aclex (""american century nt equity growth g""): 0.043, ahgnx (""american century nt high income g""): 0.0426",0.1128,2021-06-30,-0.0138,0.1309,0.0092,0.0048,0.0405,0.0351,0.0859,0.1433,0.0741,0.0589,,0.061,,,2.0,0.0,0.05251,,0.1801,,,,,,,,,-0.03752,,-0.00081,,-0.04152,,0.11994,,0.02814,,0.11599,,0.30189,,-0.13211,,,,,,,,,,,,,,,,,1.63,1.25,0.66,13.81,11.52,0.58,5.01,,,,,,,,,,,,,,
jpme,etf,us,one choice 2045 portfolio  r6 ,american century investments one choice 2045 portfolio r6 class,usd,mid-cap blend,american century investments,pcx,nysearca,america/new_york,7717,8040.0,245908512.0,91.747,87.967,22.28,0.23281,95.7,-4.8868,-0.05106,73.42,17.3932,0.2369,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other american century mutual funds (the underlying funds) that represent a variety of asset classes and investment styles. the target date in the fund name (2045) refers to the approximate year an investor plans to retire and likely would stop making new investments in the fund.",0.0131,2016-05-11,,value,medium,0.0024,0.0047,0.9991,0.0,0.0859,0.0332,0.0806,0.0793,0.0613,0.085,0.1335,0.1008,0.1013,0.1506,0.0883,2.98,12.57,21.34,1.61,,,,,,,,,,,,"acldx (""american century nt diversified bond g""): 0.1415, acllx (""american century nt focused lg cap val g""): 0.1108, afegx (""american century sustainable equity g""): 0.0849, aclmx (""american century nt mid cap value g""): 0.0708, acltx (""american century nt growth g""): 0.0641, aclnx (""american century nt international gr g""): 0.058, agbgx (""american century global bond g""): 0.0559, aclwx (""american century nt heritage g""): 0.0549, aclkx (""american century nt emerging markets g""): 0.0503, aclex (""american century nt equity growth g""): 0.0465",0.0441,2021-06-30,0.1754,0.0901,-0.0028,0.0012,0.0644,0.0465,0.4774,0.1218,0.1258,0.0834,0.1342,0.1592,,0.0788,3.0,1.0,0.08308,,0.2527,,-0.08424,,0.19065,,,,,-0.04242,,0.09844,,0.37193,,0.16749,,-0.01711,,0.29495,,0.41986,,-0.3965,,0.05944,,0.12485,,0.11817,,0.19735,,0.38457,,-0.16149,,-0.00152,,0.17077,-6.47,1.11,1.19,91.13,21.46,0.61,10.36,-4.99,1.08,1.15,90.08,17.05,0.74,10.99,,,,,,,
